Company_Name,ticker,gvkey,naics,company_id
3D SYSTEMS,DDD,14898,333249,27425
3M,MMM,7435,322220,13432
3M,MMM,7435,322220,329
5N PLUS,FPLSF,179163,3251,7654
A10 NETWORKS,ATEN,19849,334118,14583
AAR,AIR,1004,423860,152715
ABB,ABB,210418,335313,2148
ABBOTT LABORATORIES,ABT,1078,325412,111
ABERDEEN,AABVF,62545,523999,41873
ACCENTURE,ACN,143357,541611,2748
ACCO BRANDS,ACCO,164506,323111,152824
ACETO,ACETQ,1094,424690,26211
ACI WORLDWIDE,ACIW,31564,519130,35495
ADESTO TECHNOLOGIES,IOTS,26187,334413,6383
ADIENT,ADNT,27333,336360,40129
ADVANSIX,ASIX,28070,325220,135470
ADVANTEST,ATEYY,100245,334515,3251
AECOM,ACM,147988,541330,3465
AEGON,AEG,15598,524113,6308
AEROJET ROCKETDYNE,AJRD,5018,336415,29604
AEROVIRONMENT,AVAV,176362,336411,152876
AGILENT TECHNOLOGIES,A,126554,334516,855
AGILYSYS,AGYS,8599,511210,132118
AIMIA,GAPFF,164169,541890,32672
AIR PRODUCTS & CHEMICALS,APD,1209,325120,555
AKAMAI TECHNOLOGIES,AKAM,125595,519130,32670
AKZO NOBEL,AKZOY,15334,325510,751
ALBEMARLE,ALB,29751,325180,36786
ALCOA,AA,27638,3313,319
ALERIS,6685B,13712,331315,4369
ALKERMES,ALKS,24302,325412,2993
ALLERGAN,AGN,27845,325412,149559
ALLIED MOTION TECHNOLOGIES,AMOT,5520,335312,134360
ALNYLAM PHARMACEUTICALS,ALNY,264265,325412,2744
ALTAIR ENGINEERING,ALTR,32530,511210,19078
ALTRA INDUSTRIAL MOTION,AIMC,176247,333613,30187
AMBARELLA,AMBA,15420,334413,10075
AMCOR,AMCR,100243,326112,330
AMERICAN AIRLINES,AMR1,1388,481111,6874
AMERICAN BILTRITE,ABLT,1397,322220,26323
AMERICAN EXPRESS,AXP,1447,522210,70
AMERICAN EXPRESS,AXP,1447,522210,70
AMERICAN GROUP,AIG,1487,524126,34802
AMERICAN GROUP,AIG,1487,524126,34802
AMERICAN TOWER,AMT,105365,531120,33040
AMERISAFE,AMSF,164572,524126,43688
AMERISAFE,AMSF,164572,524126,43688
AMERISOURCEBERGEN,ABC,31673,424210,2963
AMETEK,AME,1598,334513,5247
AMPHENOL,APH,14282,334417,1388
ANALOG DEVICES,ADI,1632,334413,1587
ANAPLAN,PLAN,34236,519130,6271
ANGIODYNAMICS,ANGO,264387,339112,6236
ANI PHARMACEUTICALS,ANIP,18204,325412,58
ANIKA THERAPEUTICS,ANIK,28209,325414,149628
ANSYS,ANSS,63080,511210,32846
AON,AON,3221,524210,6354
AON,AON,3221,524210,6354
APPLE,AAPL,1690,334220,2273
APPLIED MATERIALS,AMAT,1704,333242,7794
APPLIED OPTOELECTRONICS,AAOI,18564,334413,36957
AQUAVENTURE,WAAS,26272,221310,135831
ARAMARK,ARMK,186858,722320,83
ARCADIS,ARCAY,29789,541330,34771
ARCBEST,ARCB,1743,484122,141559
ARCELORMITTAL,MT,65248,331110,2841
ARCHAL,ARCH,14793,21211,46921
ARCONIC,ARNC,28192,336413,9493
ARDAGH GROUP,ARD,30571,332431,45299
ARES MANAGEMENT,ARES,20412,523920,132165
ARGAN,AGX,8832,541330,149659
ARISTA NETWORKS,ANET,20748,334118,7197
ARROW ELECTRONICS,ARW,1773,423690,1446
ASGN,ASGN,25749,561320,153032
ASM,ASMIY,1166,333242,3248
ASPEN GROUP,ASPU,170920,611310,34762
ASTRONICS,ATRO,1823,336320,143606
ASTRONICS,ATRO,1823,336320,143607
ASTRONOVA,ALOT,1820,334118,134364
