company_name,ticker,naics,gvkey
AAR CORP,AIR,423860,1004
AMERICAN AIRLINES GROUP INC,AAL,481111,1045
CECO ENVIRONMENTAL CORP,CECE,333413,1050
ASA GOLD AND PRECIOUS METALS,ASA,523999,1062
ASA GOLD AND PRECIOUS METALS,ASA,523999,1062
AVX CORP,AVX,334416,1072
PINNACLE WEST CAPITAL CORP,PNW,2211,1075
AARON'S INC,AAN,532289,1076
ABBOTT LABORATORIES,ABT,325412,1078
WORLDS INC,WDDD,519130,1084
ACETO CORP,ACETQ,424690,1094
MORGUARD CORP,MRCBF,531,1096
ACMAT CORP  -CL A,ACMTA,524126,1097
ACME UNITED CORP,ACU,332215,1104
BK TECHNOLOGIES CORP,BKTI,334220,1117
ADAMS DIVERSIFIED EQUITY FD,ADX,525990,1119
ADAMS RESOURCES & ENERGY INC,AE,424720,1121
ADVANCED MICRO DEVICES,AMD,334413,1161
ASM INTERNATIONAL NV,ASMIY,333242,1166
AGNICO EAGLE MINES LTD,AEM,212221,1186
AIR PRODUCTS & CHEMICALS INC,APD,325120,1209
AIR T INC,AIRT,492110,1210
ALABAMA GAS CORP,EGN1,221210,1224
ALABAMA POWER CO,SO1,2211,1225
ALASKA AIR GROUP INC,ALK,481111,1230
ATRION CORP,ATRI,339112,1234
MATSON INC,MATX,483113,1254
ALEXANDER'S INC,ALX,531120,1257
ALEXANDER'S INC,ALX,531120,1257
ALGOMA CENTRAL CORP,AGMJF,483113,1262
ALICO INC,ALCO,111310,1266
ALL STATE PROPERTIES HLDGS,ATPT,999990,1272
ALLEGHANY CORP,Y,524126,1274
ALLEGHANY CORP,Y,524126,1274
HONEYWELL INTERNATIONAL INC,HON,336413,1300
SKYWORKS SOLUTIONS INC,SWKS,334413,1327
ARROW DOW JONES GLBL YLD ETF,GYLD,525910,1352
HESS CORP,HES,2111,1380
AMERICAN AIRLINES INC,AMR1,481111,1388
AMERCO,UHAL,532120,1393
AMERICAN BILTRITE INC,ABLT,322220,1397
ABM INDUSTRIES INC,ABM,561720,1410
PRIMERICA INC,PRI,524113,1414
PRIMERICA INC,PRI,524113,1414
INVESCO BOND FUND,VBF,525990,1417
US ECOLOGY INC,ECOL,562211,1439
AMERICAN ELECTRIC POWER CO,AEP,2211,1440
AMERICAN EXPRESS CO,AXP,522210,1447
AMERICAN EXPRESS CO,AXP,522210,1447
AMERICAN EXPRESS CREDIT CORP,AXP1,522298,1448
AFLAC INC,AFL,524114,1449
AFLAC INC,AFL,524114,1449
AMERICAN INTERNATIONAL GROUP,AIG,524126,1487
AMERICAN INTERNATIONAL GROUP,AIG,524126,1487
VANECK VECTORS EMG MKT HIGH,HYEM,525910,1507
AMERICAN NATIONAL INSURANCE,ANAT,524113,1526
AMERICAN NATIONAL INSURANCE,ANAT,524113,1526
AMERICAN REALTY INVESTORS,ARL,531110,1545
AMERICAN REALTY INVESTORS,ARL,531110,1545
AMERICAN SHARED HSPTL SERV,AMS,621999,1559
AMERICAN SOFTWARE  -CL A,AMSWA,511210,1562
AMERICAN VANGUARD CORP,AVD,325320,1585
AMETEK INC,AME,334513,1598
AMGEN INC,AMGN,325414,1602
AMPCO-PITTSBURGH CORP,AP,332111,1613
AMREP CORP,AXR,237210,1618
AMREP CORP,AXR,237210,1618
ANALOG DEVICES,ADI,334413,1632
ANDREA ELECTRONICS CORP,ANDR,334220,1650
ANDERSONS INC,ANDE,424510,1659
NABORS INDUSTRIES LTD,NBR,213111,1661
APACHE CORP,APA,2111,1678
APOGEE ENTERPRISES INC,APOG,332321,1686
APPALACHIAN POWER,AEP1,2211,1689
APPLE INC,AAPL,334220,1690
APPLIED MATERIALS INC,AMAT,333242,1704
ACTUANT CORP  -CL A,ATU,333132,1706
TRECORA RESOURCES,TREC,324110,1712
ADVANCED OXYGEN TECHNOLOGY,AOXY,531120,1718
ARCHER-DANIELS-MIDLAND CO,ADM,31122,1722
ARIZONA PUBLIC SERVICE CO,PNW1,2211,1742
ARCBEST CORP,ARCB,484122,1743
ENTERGY ARKANSAS,ETR1,2211,1745
ARROW ELECTRONICS INC,ARW,423690,1773
ARTS WAY MFG INC,ARTW,333111,1783
ASBESTOS CORP LTD,AB.H,523999,1790
ASHLAND GLOBAL HOLDINGS INC,ASH,3252,1794
ASTRONOVA INC,ALOT,334118,1820
ASTRONICS CORP,ATRO,336320,1823
ATCO LTD  -CL I,ACLLF,221210,1828
SOUTHERN CO GAS,SO7,221210,1837
REX AMERICAN RESOURCES CORP,REX,325193,1864
AUTODESK INC,ADSK,519130,1878
AUTOMATIC DATA PROCESSING,ADP,518210,1891
AVERY DENNISON CORP,AVY,322220,1913
AVNET INC,AVT,423690,1919
AVON PRODUCTS,AVP,325620,1920
AZZ INC,AZZ,335122,1926
BRITISH AMER TOBACCO PLC,BTI,312230,1932
BRT APARTMENTS CORP,BRT,531110,1949
BRT APARTMENTS CORP,BRT,531110,1949
BADGER METER INC,BMI,334514,1968
BALCHEM CORP  -CL B,BCPC,325412,1979
PROTECTIVE INSURANCE CORP,PTVCB,524126,1982
PROTECTIVE INSURANCE CORP,PTVCB,524126,1982
BALL CORP,BLL,332431,1988
POPULAR INC,BPOP,522110,2002
POPULAR INC,BPOP,522110,2002
BANK OF HAWAII CORP,BOH,522110,2005
BANK OF HAWAII CORP,BOH,522110,2005
BANK OF NEW YORK MELLON CORP,BK,522110,2019
BANK OF NEW YORK MELLON CORP,BK,522110,2019
BARNES GROUP INC,B,332613,2049
BARNWELL INDUSTRIES,BRN,2111,2052
BARRICK GOLD CORP,GOLD,212221,2055
BASSETT FURNITURE INDS,BSET,337122,2080
BAXTER INTERNATIONAL INC,BAX,325412,2086
APPLIED INDUSTRIAL TECH INC,AIT,423830,2101
BECTON DICKINSON & CO,BDX,339112,2111
BEL FUSE INC,BELFB,334416,2124
VERIZON COMMUNICATIONS INC,VZ,517312,2136
BCE INC,BCE,517311,2137
BEMIS CO INC,BMS,326112,2154
BERKSHIRE HATHAWAY,BRK.B,999977,2176
BERKSHIRE HATHAWAY,BRK.B,999977,2176
BEST BUY CO INC,BBY,443142,2184
BIO-RAD LABORATORIES INC,BIO,334516,2220
NON INVASIVE MONITOR,NIMU,334510,2240
BLACK HILLS CORP,BKH,2211,2259
BLOCK H & R INC,HRB,541213,2269
VALARIS PLC,VAL,213111,2270
BLUE RIDGE REAL ESTATE CO,BRRE,531,2277
BOEING CO,BA,336411,2285
ROBERT HALF INTL INC,RHI,561320,2312
HEXION INC,0141A,325199,2316
RESOLUTE FOREST PRODUCTS INC,RFP,322121,2337
BOWL AMERICA INC  -CL A,BWL.A,713950,2342
BRADY CORP,BRC,339950,2352
BROOKFIELD ASSET MANAGEMENT,BAM,523,2369
BROOKFIELD ASSET MANAGEMENT,BAM,523,2369
BRIDGFORD FOODS CORP,BRID,311612,2390
BRIGGS & STRATTON,BGG,333618,2393
BRISTOL-MYERS SQUIBB CO,BMY,325412,2403
TELUS CORP,TU,517312,2408
BP PLC,BP,324110,2410
BT GROUP PLC,BTY10,517311,2411
BROWN FORMAN CORP,BF.B,312140,2435
CALERES INC,CAL,316210,2436
BRUNSWICK CORP,BC,333618,2444
MATERION CORP,MTRN,331410,2448
CHINA XUEFENG ENVIRON ENGR,CXEE,541620,2485
BURLINGTON NORTHERN SANTA FE,BRK3,482111,2490
MASTEC INC,MTZ,237130,2497
UNISYS CORP,UIS,541512,2504
BUTLER NATIONAL CORP,BUKS,561110,2519
CAE INC,CAE,333318,2526
LIVERAMP HOLDINGS INC,RAMP,519130,2536
CIGNA CORP,CI,524114,2547
CIGNA CORP,CI,524114,2547
CSS INDUSTRIES INC,CSS,322220,2556
CNA FINANCIAL CORP,CNA,524126,2558
CNA FINANCIAL CORP,CNA,524126,2558
CSP INC,CSPI,541512,2573
CSX CORP,CSX,482111,2574
CTS CORP,CTS,33441,2577
TELOS CORP/MD,6534C,541512,2578
CVD EQUIPMENT CORP,CVV,333249,2581
CABOT CORP,CBT,325180,2593
CACI INTL INC  -CL A,CACI,541512,2596
CALAMP CORP,CAMP,334220,2615
MUFG AMERICAS HOLDINGS CORP,0176A,522110,2620
MUFG AMERICAS HOLDINGS CORP,0176A,522110,2620
CALIFORNIA WATER SERVICE GP,CWT,221310,2628
CAMPBELL SOUP CO,CPB,311422,2663
MAPLE LEAF FOODS INC,MLFNF,3116,2675
CANADIAN NATIONAL RAILWAY CO,CNI,482111,2696
CANADIAN PACIFIC RAILWAY LTD,CP,482111,2698
CANADIAN TIRE CORP  -CL A,CDNAF,441320,2703
CONSTELLATION BRANDS,STZ,312120,2710
CANON INC,CAJ,333316,2721
CAPITAL PROPERTIES INC,CPTP,531190,2735
CARDINAL HEALTH INC,CAH,424210,2751
CARLISLE COS INC,CSL,324122,2771
GUNGNIR RESOURCES INC,ASWRF,212221,2777
PROGRESS ENERGY INC,DUK8,2211,2783
CARPENTER TECHNOLOGY CORP,CRS,331110,2787
CASEYS GENERAL STORES INC,CASY,447110,2807
CASTLE (A M) & CO,CTAM,423510,2811
CATERPILLAR INC,CAT,333120,2817
CATO CORP  -CL A,CATO,448120,2818
CAVCO INDUSTRIES INC,CVCO,321992,2820
R F INDUSTRIES LTD,RFIL,334417,2829
BBVA COMPASS BANCSHARES INC,BBVA1,522110,2849
BBVA COMPASS BANCSHARES INC,BBVA1,522110,2849
CENTURYLINK INC,CTL,517311,2884
MAGELLAN HEALTH INC,MGLN,561110,2940
CANTEL MEDICAL CORP,CMD,334510,2942
CHEMED CORP,CHE,621610,2960
JPMORGAN CHASE & CO,JPM,522110,2968
JPMORGAN CHASE & CO,JPM,522110,2968
CHESAPEAKE UTILITIES CORP,CPK,221210,2986
CELSION CORP,CLSN,325414,2990
CHEVRON CORP,CVX,324110,2991
CHICAGO RIVET & MACHINE CO,CVR,332722,2999
