company_name,company_id
PERKINS,666
ENTHONE,4631
PAK WEST,5734
INVIBIO,5831
MARSH,7882
SEMICOA,10264
KEYSTONE,10780
TEKNION,13267
CARLYLE,13434
FULFLEX,17566
TEDIA,18029
BIOLAB,19734
BOS,21583
HARTWELL CORPORATION,29357
MPE SRL,32867
GIBSON,33662
KBK,43694
Z-STRATATEL LTD,93017
LORD,3899
GSDI,4352
LUMITEX,6744
MAGNODE,11685
ALFA,19166
ISPG,20788
SIERRA PLASTICS,24069
SW FOAM,26099
ENCO,26488
EVIGNA,27987
COLLABERA,33164
MITCHELL GROUP,33588
MAJOR WIRE INC,35134
DEMMER,40360
UNITED SYSTEMS GROUP,42874
ADOBE_S&GP,43420
HELSA WIX CO,44623
HAFELE,45450
INNOVATIVE CHEMICALS TECHNOLOGIES,149338
TOWER SEMICONDUCTOR,1788
"M/A-COM TECHNOLOGY SOLUTIONS, INC.",129787
XYZ,127493
SCHOTT NORTH AMERICA,127492
SUMITOMO CHEMICAL ADVANCED TECHNOLOGIES,127461
ADMENTIUM,75420
ABSTRACT ELECTRONICS,129510
NOT APPLICABLE,129668
"TUSONIX, INC",14077
GLOBAL SKYWARE,133589
CHARLES RIVER,38
CEVA LOGISTICS,39
BOSTON SCIENTIFIC PARTNER,43
BOEHRINGER INGELHEIM,45
BARRETTS MINERALS,51
ANI PHARMACEUTICALS,58
AMRI,60
AMPAC,61
ALZCHEM,62
EPSILON,69
AMERICAN EXPRESS,70
NALGENE,71
BACHEM,72
MYLAN,76
IMERYS TALC,77
CATALENT,78
EMC PARTNER,79
BANK OF AMERICA,80
HARTE HANKS,81
ARAMARK,83
SERVICENOW,84
SAS INSTITUTE,85
SAP AG,86
RIVERBED TECHNOLOGY,87
AT&T,89
MICROSOFT PARTNER,91
REPSOL,92
GELITA,93
NELIPAK,94
SMITHS MEDICAL,95
FEDEX,96
BERRY PLASTICS,99
KANEKA CORPORATION,101
ADVANTECH,102
DOMINO,103
KRAIBURG,104
ARGON MEDICAL DEVICES,105
HIGHPOINT SOLUTIONS,106
NEMERA,107
NOVO NORDISK,108
LONZA,109
ABBOTT LABORATORIES,111
LYONDELLBASSELL,113
PCI,115
ARKEMA,117
PANALPINA,119
ORACLE AMERICA,121
ADVANEX,122
MAXON MOTORS,123
MEGGLE,125
QUANTUM,126
FRUTAROM INDUSTRIES,127
F5 NETWORKS,128
COGNIZANT TECHNOLOGY SOLUTIONS,129
PLEXUS MANUFACTURING,130
HEWLETT PACKARD,131
NYPRO,132
SCHOTT,133
STEPAN,137
NOSCO,139
SIRVA,143
RXCROSSROADS,149
PROTECH DESIGN & MANUFACTURING,156
PHARMAGRAPHICS,163
MEDLMMUNE,187
LIGHTECK,195
LACAMAS LABORATORIES,198
KUEHNE & NAGEL,199
KENDALL HEALTHCARE,201
HEIDRICK & STRUGGLES,213
HARLAN,215
DAVOS PHARMA,230
CONSTANTIA FLEXIBLES,232
COLBERT PACKAGING,233
BAXTER,237
VYGON,246
VEOLIA,247
VAN BLARCOM CLOSURE,249
TEKSYSTEMS,265
VERIZON COMMUNICATIONS,267
MANPOWERGROUP,269
VIAVI SOLUTIONS,271
CENTRAL GLASS,272
CISCO PARTNER,273
TEKNI PLEX,274
JOHNSON MATTHEY,275
SENSIENT TECHNOLOGIES,276
WS PACKAGING,277
JOHNSON CONTROLS,278
VERTELLUS,279
GERRESHEIMER GLASS,281
MORTON SALT,282
LUBRIZOL,283
BANNER SERVICE,284
ASHLAND,285
VETTER PHARMA,286
TRADEMARK PLASTICS,287
MYODERM,288
MULTIPHARMA,289
SUMITOMO CHEMICAL,290
SPL,291
SAINT-GOBAIN - TAUNTON,131275
FOREMOST FARMS USA,294
GATTEFOSSE,296
MULTISORB TECHNOLOGIES,297
DRUG PLASTICS,298
JRS PHARMA,299
HOSPIRA,300
B BRAUN,301
TAKEDA,303
COVIDIEN,304
COLORCON,305
CCL LABEL,306
BD BIOSCIENCES,307
DATWYLER,309
EMD MILLIPORE PARTNER,270
PALL CORP,312
OMEGA ONE,127463
CRODA,313
BAYER,318
ALCOA,319
SYNERGY HEALTH,321
SABIC INNOVATIVE PLASTICS,322
UPS,323
INTEL,324
DHL,326
MITSUBISHI,328
AMCOR,330
GENERAL ELECTRIC,331
GRACE MATERIALS TECHNOLOGIES,332
TICONA GMBH,333
ABBVIE SELF,334
JBS USA,335
PEREGRINE PHARMACEUTICALS,338
HALOCARBON,341
CARDINAL HEALTH,342
WEYLCHEM,345
TANGENX TECHNOLOGY,346
SIEGFRIED,348
CANTEL MEDICAL,349
CONTECH INC,350
XYLEM,351
BASF,325
CAPSUGEL,295
SMURFIT KAPPA,315
EMERSON,320
WEST PHARMACEUTICAL,293
PATHEON PARTNER,352
DANAHER,357
PACKAGING COORDINATORS,358
MEDIVATORS,359
DICKEY MANUFACTURING COMPANY,361
SPI PHARMA,362
MICRO ESSENTIAL LAB,363
LINDE,368
CLONDALKIN,369
BELLCO,419
ASSOCIATED BAG COMPANY,373
SHARP,374
HONEYWELL,375
LABCHEM INC,388
QUEST DIAGNOSTICS,397
AMERICAN CARBONATION,400
SUNSHINE MAKERS,405
BERLIN PACKAGING,406
ALCAMI,407
MILLER ELECTRIC,408
GENCO,409
SUMIKA TECHNOLOGY,39571
MAJORS PLASTICS,412
AIRGAS,413
AJINOMOTO,414
AMERICAN CONTAINERS INC,415
ASAHI KASEI BIOPROCESS,416
BARNHARDT MANUFACTURING CO,418
BENCHMARK PRODUCTS,421
TEUSCHER,423
OMNI MANUFACTURING SERVICES,424
BILCARE RESEARCH,425
BIO SPRINGER,426
BORINQUEN CONTAINER CORPORATION,428
CHARTER MEDICAL,429
SARTORIUS,302
COLD CHAIN TECHNOLOGIES,430
CSL BEHRING,433
FMC,435
DR PAUL LOHMANN,436
COLDER PRODUCTS,431
GE HEALTHCARE LIFE SCIENCES,438
GE INSTRUMENTS,439
PAW BIOSCIENCE PRODUCTS,507
GEORGE SCHMITT & CO,441
HACH,442
HILEX,443
INORGANIC VENTURES,444
JOHNNY RULLAN & CO,445
KERRY BIO-SCIENCE,446
LIFOAM INDUSTRIES,447
Z-AURORA BUY-WRITE,127470
NATIONAL LABEL,451
NOF AMERICA CORP,452
PACIFIC SOUTHWEST CONTAINER,453
PHARMACEUTIC LITHO & LABEL CO,456
Z-BECTON GROUP,127472
ROCHE,460
RONDO-PAK,462
ROYAL PAPER BOX,463
SANI TECH WEST,465
SCHREINER GROUP,468
SENSITECH,469
STERITEC,473
STEVANATO GROUP,474
TEMPTIME,475
UNIVAR,476
CARIBE GASKET & SUPPLY,481
DOE & INGALLS,482
MICRO HYDRAULICS,484
MALLINCKRODT PHARMACEUTICALS,485
INTEGRA COMPANIES,486
KLOCKNER PENTAPLAST,487
ROCKTENN,490
POLYMER SOLUTIONS,491
OLIVER,492
GEORGIA PACIFIC,493
PQ CORP,494
INGREDION,495
